IDnum;Date;StartTime;Duration;Destination;Attack_name;insider?;manual?;console?;success?;aDump?;oDump;iDump;BSM?;SysLogs;FSListing;Stealthy;New?;Category;OS
41.084031;3/29/1999;08:18:35;0:04:07;172.016.112.050;ps;out;;rem;succ;aDmp;oDmp;iDmp;BSM;SysLg;FSLst;Stlth;Old;llU2R;
41.084031;3/29/1999;08:19:37;0:01:56;209.154.098.104;ps;out;;rem;succ;aDmp;oDmp;iDmp;BSM;SysLg;FSLst;Stlth;Old;llU2R;
41.084031;3/29/1999;08:29:27;0:00:43;172.016.112.050;ps;out;;rem;succ;aDmp;oDmp;iDmp;BSM;SysLg;FSLst;Stlth;Old;llU2R;
41.084031;3/29/1999;08:40:14;0:24:26;172.016.112.050;ps;out;;rem;succ;aDmp;oDmp;iDmp;BSM;SysLg;FSLst;Stlth;Old;llU2R;
41.084818;3/29/1999;08:48:12;0:00:02;172.016.114.050;sendmail;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Clr;Old;llR2L ;
41.084818;3/29/1999;08:48:12;0:00:01;202.049.244.010;sendmail;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Clr;Old;llR2L ;llLINUX
41.090000;3/29/1999;09:08:00;0:08:00;172.16.112.100;ntfsdos;;man     ;cons;succ;not;not;not;not;SysLg;FSLst;Clr;New;llDATA-llU2R-;llNT
41.091531;3/29/1999;09:15:05;0:00:01;172.016.113.050;portsweep;in;auto;rem;succ;aDmp;not;iDmp;not;not;not;Stlth;Old;llPROBE;
41.091531;3/29/1999;09:25:21;0:00:01;172.016.113.050;portsweep;in;auto;rem;succ;aDmp;not;iDmp;not;not;not;Stlth;Old;llPROBE;
41.091531;3/29/1999;09:35:36;0:00:01;172.016.113.050;portsweep;in;auto;rem;succ;aDmp;not;iDmp;not;not;not;Stlth;Old;llPROBE;
41.093708;3/29/1999;09:36:23;0:00:01;172.016.114.050;sshtrojan;out;auto;rem;succ;aDmp;oDmp;iDmp;not;SysLg;FSLst;Clr;New;llR2L;・ｽSllLINUX
41.093708;3/29/1999;09:36:23;0:00:01;202.077.162.213;sshtrojan;out;auto;rem;succ;aDmp;oDmp;iDmp;not;SysLg;FSLst;Clr;New;llR2L;TllLINUXX
41.093708;3/29/1999;09:38:35;0:03:11;172.016.114.050;sshtrojan;out;auto;rem;succ;aDmp;oDmp;iDmp;not;SysLg;FSLst;Clr;New;llR2L;・ｽTllLINUX
41.093708;3/29/1999;09:39:37;0:00:31;135.013.216.191;sshtrojan;out;auto;rem;succ;aDmp;oDmp;iDmp;not;SysLg;FSLst;Clr;New;IIR2L;・ｽTllLINUX
41.111531;3/29/1999;11:15:15;0:00:01;192.168.001.001;portsweep;in;auto;rem;succ;aDmp;not;iDmp;not;not;not;Stlth;Old;llPROBE;sllCISCO
41.111531;3/29/1999;11:16:15;0:00:01;192.168.001.001;portsweep;in;auto;rem;succ;aDmp;not;iDmp;not;not;not;Stlth;Old;llPROBE;
41.111531;3/29/1999;11:17:15;0:00:01;192.168.001.001;portsweep;in;auto;rem;succ;aDmp;not;iDmp;not;not;not;Stlth;Old;llPROBE;
41.111531;3/29/1999;11:18:15;0:00:01;192.168.001.001;portsweep;in;auto;rem;succ;aDmp;not;iDmp;not;not;not;Stlth;Old;llPROBE;llCISCO
41.111531;3/29/1999;11:19:15;0:00:01;192.168.001.001;portsweep;in;auto;rem;succ;aDmp;not;iDmp;not;not;not;Stlth;Old;llPROBE;
41.112127;3/29/1999;11:22:43;0:01:17;172.016.114.168;xsnoop;out;;rem;succ;aDmp;oDmp;iDmp;not;not;not;Clr;Old;llR2L;
41.114554;3/29/1999;11:45:12;0:25:35;172.016.000.001;snmpget;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Clr;Old;llR2L;・ｽSC
41.114554;3/29/1999;12:10:48;0:07:55;172.016.000.001;snmpget;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Clr;Old;llR2L;ｽqllCISCOX
41.114703;3/29/1999;11:47:16;0:00:10;172.016.113.050;guesstelne;t out;auto;rem;succ;aDmp;oDmp;iDmp;not;SysLg;not;Clr;Old;llR2L;
41.122222;3/29/1999;12:22:15;0:00:01;172.016.112.100;portsweep;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Stlth;Old;llPROBE;mllNT
41.122222;3/29/1999;12:22:15;0:00:03;153.107.252.061;portsweep;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Stlth;Old;llPROBE;
41.122222;3/29/1999;12:23:55;0:00:01;172.016.112.100;portsweep;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Stlth;Old;llPROBE;nllNT
41.122222;3/29/1999;12:25:35;0:00:01;172.016.112.100;portsweep;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Stlth;Old;llPROBE;
41.122222;3/29/1999;12:27:15;0:00:01;172.016.112.100;portsweep;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Stlth;Old;llPROBE;rllNT
41.133333;3/29/1999;13:33:16;0:00:21;172.016.112.050;guessftp;in;auto;rem;succ;aDmp;not;iDmp;BSM;SysLg;not;Clr;Old;llR2L;O
41.133333;3/29/1999;13:33:20;0:00:01;172.016.118.070;guessftp;in;auto;rem;succ;aDmp;not;iDmp;BSM;SysLg;not;Clr;Old;llR2L;gllSOLARIS
41.133333;3/29/1999;13:33:25;0:00:01;172.016.118.070;guessftp;in;auto;rem;succ;aDmp;not;iDmp;BSM;SysLg;not;Clr;Old;llR2L;tllSOLARIS
41.133333;3/29/1999;13:33:29;0:00:01;172.016.118.070;guessftp;in;auto;rem;succ;aDmp;not;iDmp;BSM;SysLg;not;Clr;Old;llR2L;hllSOLARIS
41.133333;3/29/1999;13:33:33;0:00:01;172.016.118.070;guessftp;in;auto;rem;succ;aDmp;not;iDmp;BSM;SysLg;not;Clr;Old;llR2L;allSOLARIS
