IDnum;Date;StartTime;Duration;Destination;Attackname;insider?;manual?;console?;success?;aDump?;oDump;iDump;BSM?;SysLogs;FSListing;Stealthy;New?;Category;OS
41.084.031;3/29/1999;8:18:35;0:04:07;172.016.112.050;ps;out;;rem;succ;aDmp;oDmp;iDmp;BSM;SysLg;FSLst;Stlth;Old;llU2R;
41.084.031;3/29/1999;8:19:37;0:01:56;209.154.098.104;ps;out;;rem;succ;aDmp;oDmp;iDmp;BSM;SysLg;FSLst;Stlth;Old;llU2R;
41.084.031;3/29/1999;8:29:27;0:00:43;172.016.112.050;ps;out;;rem;succ;aDmp;oDmp;iDmp;BSM;SysLg;FSLst;Stlth;Old;llU2R;
41.084.031;3/29/1999;8:40:14;0:24:26;172.016.112.050;ps;out;;rem;succ;aDmp;oDmp;iDmp;BSM;SysLg;FSLst;Stlth;Old;llU2R;
41.084.818;3/29/1999;8:48:12;0:00:02;172.016.114.050;sendmail;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Clr;Old;llR2L ;
41.084.818;3/29/1999;8:48:12;0:00:01;202.049.244.010;sendmail;out;auto;rem;succ;aDmp;oDmp;iDmp;not;not;not;Clr;Old;llR2L ;llLINUX
41.090.000;3/29/1999;9:08:00;0:08:00;172.16.112.100;ntfsdos;;man     ;cons;succ;not;not;not;not;SysLg;FSLst;Clr;New;llDATA-llU2R-;llNT
41.091.531;3/29/1999;9:15:05;0:00:01;172.016.113.050;portsweep;in;auto;rem;succ;aDmp;not;iDmp;not;not;not;Stlth;Old;llPROBE;
41.091.531;3/29/1999;9:25:21;0:00:01;172.016.113.050;portsweep;in;auto;rem;succ;aDmp;not;iDmp;not;not;not;Stlth;Old;llPROBE;
41.091.531;3/29/1999;9:35:36;0:00:01;172.016.113.050;portsweep;in;auto;rem;succ;aDmp;not;iDmp;not;not;not;Stlth;Old;llPROBE;
41.093.708;3/29/1999;9:36:23;0:00:01;172.016.114.050;sshtrojan;out;auto;rem;succ;aDmp;oDmp;iDmp;not;SysLg;FSLst;Clr;New;llR2L;・ｽSllLINUX
41.093.708;3/29/1999;9:36:23;0:00:01;202.077.162.213;sshtrojan;out;auto;rem;succ;aDmp;oDmp;iDmp;not;SysLg;FSLst;Clr;New;llR2L;TllLINUXX
41.093.708;3/29/1999;9:38:35;0:03:11;172.016.114.050;sshtrojan;out;auto;rem;succ;aDmp;oDmp;iDmp;not;SysLg;FSLst;Clr;New;llR2L;・ｽTllLINUX
41.093.708;3/29/1999;9:39:37;0:00:31;135.013.216.191;sshtrojan;out;auto;rem;succ;aDmp;oDmp;iDmp;not;SysLg;FSLst;Clr;New;IIR2L;・ｽTllLINUX
41.111.531;3/29/1999;11:15:15;0:00:01;192.168.001.001;portsweep;in;auto;rem;succ;aDmp;not;iDmp;not;not;not;Stlth;Old;llPROBE;sllCISCO
41.111.531;3/29/1999;11:16:15;0:00:01;192.168.001.001;portsweep;in;auto;rem;succ;aDmp;not;iDmp;not;not;not;Stlth;Old;llPROBE;
